stock_name,stock_code,is_shariah,category
PANSAR,8419,True,Building Materials
ECOFIRS,3557,True,Property
MAG,0095,True,Food &Beverages
IGBCR,5299,False,Real Estate Investment Trusts
CRESNDO,6718,True,Property
MYTECH,7692,False,Metals
WANGZNG,7203,True,Houshold Goods
GLOMAC,5020,True,Property
MANULFE,1058,False,Insurance
CEPCO,8435,True,Building Materials
PRIVA,0123,True,Telecommunications Equipment
ARBB,7181,True,Software
GUOCO,1503,True,Property
TOCEAN,7218,True,Transportation &Logistics Services
L &G,3174,True,Property
E &O,3417,True,Property
MALAKOF,5264,True,Electricity
HEXZA,3298,False,Chemicals
IBHD,4251,True,Property
PLENITU,5075,True,Property
ENGTEX,5056,True,Metals
LOTUS,8303,True,Food &Beverages
Y &G,7003,True,Property
APM,5015,True,Auto Parts
TURBO,5167,False,"Industrial Materials, Components &Equipment"
SPSETIA,8664,True,Property
AVALAND,5182,True,Property
IQZAN,7183,True,Packaging Materials
MCEMENT,3794,True,Building Materials
WELLS,0271,True,Food &Beverages
MGRC,0155,True,Health Care Equipment &Services
MATANG,0189,False,Plantation
CLMT,5180,False,Real Estate Investment Trusts
CEPAT,8982,True,Plantation
UMS,7137,True,"Industrial Materials, Components &Equipment"
RVIEW,2542,True,Plantation
CSCSTEL,5094,True,Metals
WASCO,5142,True,"Energy, Infrastructure, Equipment &Services"
AMFIRST,5120,False,Real Estate Investment Trusts
UPA,7757,True,Consumer Services
APEX,5088,False,Other Financials
SANCY,03057,True,Software
SPRING,0216,True,Houshold Goods
RAPID,7765,False,Property
IFCAMSC,0023,True,Software
SUPERLN,7235,True,Building Materials
IJM,3336,True,Construction
MALPAC,4936,False,Plantation
ARREIT,5127,False,Real Estate Investment Trusts
WONG,7050,True,"Industrial Materials, Components &Equipment"
PGLOBE,3611,True,Property
PARKWD,2682,True,Property
KLCC,5235SS,True,Real Estate Investment Trusts
TITIJYA,5239,True,Property
MINHO,5576,True,Wood &Wood Products
MRCB,1651,True,Property
GOINNO,03028,True,Metals
SUNSURIA,3743,True,Property
CVIEW,5049,True,Property
TASHIN,0211,True,Metals
KEN,7323,True,Property
UEMS,5148,True,Property
EPMB,7773,True,Auto Parts
NOTION,0083,True,Technology Equipment
MKLAND,8893,True,Property
HUAYANG,5062,True,Property
SEACERA,7073,True,Building Materials
MULPHA,3905,False,"Travel, Leisure &Hospitality"
HIAPTEK,5072,True,Metals
RL,0219,True,"Energy, Infrastructure, Equipment &Services"
EDUSPEC,0107,True,Software
SWSCAP,7186,True,Houshold Goods
BDB,6173,True,Property
SMILE,03023,True,Health Care Providers
STAR,6084,True,Media
LEBTECH,9628,True,Construction
CABNET,0191,True,Technology Equipment
NAIM,5073,True,Property
MASTEEL,5098,True,Metals
EMICO,9091,True,Consumer Services
KAREX,5247,True,Personal Goods
SYCAL,9717,False,Construction
S &FCAP,8745,True,Wood &Wood Products
SKYWLD,5315,True,Property
RADIUM,5313,True,Property
ASIAPAC,4057,True,Property
PRESTAR,9873,True,Metals
LFECORP,7170,False,Industrial Engineering
RGTBHD,9954,True,Chemicals
RESINTC,7232,True,Building Materials
HARNLEN,7501,True,Plantation
LBICAP,8494,True,Property
BORNOIL,7036,True,Industrial Services
ICAP,5108,False,Closed End Fund
LIONPSIM,8486,True,Industrial Services
DSR,03055,True,Plantation
AMLEX,03011,True,Semiconductors
ABLEGRP,7086,True,Building Materials
TECGUAN,7439,True,Agricultural Products
ORGABIO,0252,True,Food &Beverages
JISHAN,03040,True,Packaging Materials
AMEDIA,0159,False,Media
UCREST,0005,False,Technology Equipment
MAYU,7099,True,Metals
ACME,7131,True,Property
PEB,5622,True,Construction
BJCORP,3395,False,Diversified Industrials
GKENT,3204,True,Construction
DFX,0131,False,Digital Services
PWORTH,7123,True,Wood &Wood Products
APPASIA,0119,True,Software
SDRED,2224,True,Property
JASKITA,8648,False,"Industrial Materials, Components &Equipment"
TELECOMMUNICATIONS &MEDIA,0063I,False,
CATCHA-OR,0173OR,False,Media
PLANTATION,0025I,False,
FBMHIJRAH,0869I,False,
CONSTRUCTION,0003I,False,
FBMFLG,0866I,False,
CONSUMER PRODUCTS &SERVICES,0001I,False,
PROPERTY,0020I,False,
FBM70,0863I,False,
FBM100LC,0842I,False,
OMH,5298,True,Metals
KGW,0282,True,Transportation &Logistics Services
UTILITIES,0065I,False,
FINANCIAL SERVICES,0010I,False,
FBMKLCI,0200I,False,
FBMAPMYR,0828I,False,
FBMACE,0871I,False,
CLASSITA-OR,7154OR,True,Personal Goods
ENERGY,0061I,False,
FA40,0867I,False,
FBMPALMOIL-NC,0829I,False,
FBMSCAP,0864I,False,
FBM100LS,0843I,False,
ONEGLOVE-OR,5079OR,True,"Travel, Leisure &Hospitality"
F4GBM,0840I,False,
DIN045801028,0400GB,True,Islamic GG
REIT,0050I,False,
TRANSPORTATION &LOGISTICS,0064I,False,
FBMMSCAP,0872I,False,
FBMAPUSD,0827I,False,
HEALTH CARE,0062I,False,
TECHNOLOGY,0005I,False,
FBMSHA,0868I,False,
OVERSEA-OR,0153OR,False,"Travel, Leisure &Hospitality"
INDUSTRIAL PRODUCTS &SERVICES,0002I,False,
FBMEMAS,0865I,False,
FBMT100,0861I,False,
F4GBMS,0841I,False,
IHS046000824,0401GA,True,Islamic GG
ALLIANZ-PA,1163PA,False,Insurance
FBMMSCS,0873I,False,
METFSID,0825EA,True,Equity Fund
EPICON,4847,True,"Travel, Leisure &Hospitality"
MYETFDJ,0821EA,True,Equity Fund
FBMKLCI-EA,0820EA,False,Equity Fund
FANG-1XI,0831EA,False,
ALAM,5115,True,"Energy, Infrastructure, Equipment &Services"
KHEESAN,6203,False,Food &Beverages
CAPITALA,5099,True,"Travel, Leisure &Hospitality"
FANG-2XL,0830EA,False,
MCOM,03022,True,Digital Services
GPP,03029,True,Industrial Services
PHARMA,7081,True,Pharmaceuticals
HSCEI-2XL,0832EA,False,
SCABLE,5170,True,"Industrial Materials, Components &Equipment"
SAPNRG,5218,True,"Energy, Infrastructure, Equipment &Services"
TOPBLDS,5268,True,Construction
JERASIA,8931,False,Personal Goods
IREKA,8834,True,Construction
HSCEI-1XI,0833EA,False,
METFUS50,0827EA,True,Equity Fund
ABFMY1,0800EA,False,Bond Fund
MYETFID,0824EA,True,Equity Fund
KSSC,5192,True,"Industrial Materials, Components &Equipment"
GENTING,3182,False,"Travel, Leisure &Hospitality"
EFFICEN,0064,True,Industrial Services
KLUANG,2453,False,Plantation
EWEIN,7249,True,Property
PAOS,5022,True,Houshold Goods
