stock_code,stock_name,stock_full_name,category
9431,SJC,SENI JAYA CORPORATION BHD,TELECOMMUNICATIONS & MEDIA
7115,SKBSHUT,SKB SHUTTERS CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES
03049,SKHAWK,STEEL HAWK BERHAD,ENERGY
7155,SKPRES,SKP RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES
5315,SKYWLD,SKYWORLD DEVELOPMENT BERHAD,PROPERTY
03008,SLIC,SL INNOVATION CAPITAL BERHAD,TECHNOLOGY
7248,SLP,SLP RESOURCES BHD,INDUSTRIAL PRODUCTS & SERVICES
0215,SLVEST,SOLARVEST HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0306,SMART,SMART ASIA CHEMICAL BHD,INDUSTRIAL PRODUCTS & SERVICES
9776,SMCAP,SINMAH CAPITAL BERHAD,CONSUMER PRODUCTS & SERVICES
0203,SMETRIC,SECUREMETRIC BERHAD,TECHNOLOGY
4375,SMI,SOUTH MALAYSIA INDUSTRIES BHD,PROPERTY
03023,SMILE,SMILE-LINK HEALTHCARE GLOBAL BERHAD,HEALTH CARE
7132,SMISCOR,SMIS CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES
0117,SMRT,SMRT HOLDINGS BERHAD,TECHNOLOGY
0169,SMTRACK,SMTRACK BERHAD,TECHNOLOGY
03054,SNOWFIT,SNOWFIT GROUP BERHAD,CONSUMER PRODUCTS & SERVICES
0259,SNS,SNS NETWORK TECHNOLOGY BERHAD,TECHNOLOGY
5213,SNTORIA,SENTORIA GROUP BERHAD,PROPERTY
5242,SOLID,SOLID AUTOMOTIVE BHD,CONSUMER PRODUCTS & SERVICES
0093,SOLUTN,SOLUTION GROUP BERHAD,TECHNOLOGY
5126,SOP,SARAWAK OIL PALMS BHD,PLANTATION
0216,SPRING,SPRING ART HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES
7103,SPRITZER,SPRITZER BHD,CONSUMER PRODUCTS & SERVICES
8664,SPSETIA,SP SETIA BHD,PROPERTY
8664PA,SPSETIA-PA,S P SETIA BERHAD - ISLAMIC REDEEMABLE CONVERTIBLE PREFERENCE SHARES (RCPS-I),PROPERTY
8664PB,SPSETIA-PB,S P SETIA BERHAD - ISLAMIC REDEEMABLE CONVERTIBLE PREFERENCE SHARES B (RCPS-I B),PROPERTY
8664PC,SPSETIA-PC,S P SETIA BERHAD - ISLAMIC REDEEMABLE CONVERTIBLE PREFERENCE SHARES C (RCPS-I C),PROPERTY
8664PR,SPSETIA-PR,S P SETIA BERHAD - PREFERENCE RIGHTS,PROPERTY
1562,SPTOTO,SPORTS TOTO BERHAD,CONSUMER PRODUCTS & SERVICES
0129,SRIDGE,SILVER RIDGE HOLDINGS BHD,TELECOMMUNICATIONS & MEDIA
0045,SSB8,SOUTHERN SCORE BUILDERS BERHAD,CONSTRUCTION
0287,SSF,SSF HOME GROUP BERHAD,CONSUMER PRODUCTS & SERVICES
5665,SSTEEL,SOUTHERN STEEL BHD,INDUSTRIAL PRODUCTS & SERVICES
6084,STAR,STAR MEDIA GROUP BERHAD,TELECOMMUNICATIONS & MEDIA
0080,STRAITS,STRAITS ENERGY RESOURCES BERHAD,TRANSPORTATION & LOGISTICS
6904,SUBUR,SUBUR TIASA HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
7207,SUCCESS,SUCCESS TRANSFORMER CORP BHD,INDUSTRIAL PRODUCTS & SERVICES
1201,SUMATEC,SUMATEC RESOURCES BHD,ENERGY
5263,SUNCON,SUNWAY CONSTRUCTION GROUP BERHAD,CONSTRUCTION
