stock_full_name,stock_name,stock_code,is_shariah,category
LFE CORPORATION BHD,LFECORP,7170,True,Industrial Engineering
CAPE EMS BERHAD,CEB,5311,False,Diversified Industrials
JCBNEXT BERHAD,JCBNEXT,0058,False,Industrial Services
IDEAL CAPITAL BERHAD,IDEAL,9687,True,Property
KIP REAL ESTATE INVESTMENT TRUST,KIPREIT,5280,False,Real Estate Investment Trusts
IBRACO BHD,IBRACO,5084,True,Property
KIA LIM BHD,KIALIM,6211,True,Building Materials
MAYBULK BERHAD,MAYBULK,5077,False,Transportation & Logistics Services
AMMB HOLDINGS BERHAD,AMBANK,1015,False,Banking
CELCOMDIGI BERHAD,CDB,6947,True,Telecommunications Service Providers
SOUTHERN CABLE GROUP BERHAD,SCGBHD,0225,True,"Industrial Materials, Components & Equipment"
Y.S.P. SOUTHEAST ASIA HOLDING BERHAD,YSPSAH,7178,True,Pharmaceuticals
LBS BINA GROUP BERHAD,LBS,5789,True,Property
DIALOG GROUP BERHAD,DIALOG,7277,True,"Energy, Infrastructure, Equipment & Services"
SEREMBAN ENGINEERING BERHAD,SEB,5163,True,Industrial Engineering
SPRITZER BHD,SPRITZER,7103,True,Food & Beverages
BONIA CORPORATION BERHAD,BONIA,9288,True,Personal Goods
SAMAIDEN GROUP BERHAD,SAMAIDEN,0223,True,Industrial Services
MUI PROPERTIES BHD,MUIPROP,3913,True,Property
KUCHAI DEVELOPMENT BERHAD,KUCHAI,2186,False,Other Financials
ALLIANCE BANK MALAYSIA BERHAD,ABMB,2488,False,Banking
KERJAYA PROSPEK PROPERTY BERHAD,KPPROP,7077,True,Property
RHB BANK BERHAD,RHBBANK,1066,False,Banking
SEG INTERNATIONAL BHD,SEG,9792,True,Consumer Services
PAVILION REAL ESTATE INVESTMENT TRUST,PAVREIT,5212,False,Real Estate Investment Trusts
YENHER HOLDINGS BERHAD,YENHER,5300,False,Agricultural Products
SWIFT HAULAGE BERHAD,SWIFT,5303,True,Transportation & Logistics Services
JAYCORP BHD,JAYCORP,7152,True,Houshold Goods
SAM ENGINEERING & EQUIPMENT (M) BERHAD,SAM,9822,True,"Industrial Materials, Components & Equipment"
CHIN HIN GROUP PROPERTY BERHAD,CHGP,7187,True,Transportation Equipment
TECHBOND GROUP BERHAD,TECHBND,5289,True,Chemicals
FIBON BERHAD,FIBON,0149,False,"Industrial Materials, Components & Equipment"
MGB BERHAD,MGB,7595,True,Construction
FM GLOBAL LOGISTICS HOLDINGS BERHAD,FM,7210,True,Transportation & Logistics Services
KECK SENG (MALAYSIA) BERHAD,KSENG,3476,False,Diversified Industrials
MNRB HOLDINGS BERHAD,MNRB,6459,False,Insurance
NEW HOONG FATT HOLDINGS BHD,NHFATT,7060,True,Automotive
TA ANN HOLDINGS BERHAD,TAANN,5012,True,Plantation
HIL INDUSTRIES BHD,HIL,8443,True,Chemicals
SARAWAK PLANTATION BERHAD,SWKPLNT,5135,True,Plantation
SARAWAK OIL PALMS BERHAD,SOP,5126,True,Plantation
CAM RESOURCES BHD,CAMRES,7128,True,Houshold Goods
ANALABS RESOURCES BERHAD,ANALABS,7083,False,Industrial Services
GLOBETRONICS TECHNOLOGY BERHAD,GTRONIC,7022,True,Semiconductors
KEIN HING INTERNATIONAL BHD,KEINHIN,7199,True,Metals
EG INDUSTRIES BERHAD,EG,8907,True,"Industrial Materials, Components & Equipment"
FEDERAL INTERNATIONAL HOLDINGS BERHAD,FIHB,8605,True,Houshold Goods
FIAMMA HOLDINGS BERHAD,FIAMMA,6939,True,Houshold Goods
WCE HOLDINGS BERHAD,WCEHB,3565,False,Construction
UNIMECH GROUP BHD,UNIMECH,7091,True,"Industrial Materials, Components & Equipment"
P.A. RESOURCES BERHAD,PA,7225,True,Metals
CUSCAPI BERHAD,CUSCAPI,0051,True,Software
PGF CAPITAL BERHAD,PGF,8117,True,Building Materials
MARCO HOLDINGS BHD,MARCO,3514,False,Personal Goods
FSBM HOLDINGS BERHAD,FSBM,9377,True,Technology Equipment
A-RANK BERHAD,ARANK,7214,True,Metals
SUPERCOMNET TECHNOLOGIES BHD,SCOMNET,0001,True,Health Care Equipment & Services
DUOPHARMA BIOTECH BERHAD,DPHARMA,7148,True,Pharmaceuticals
AXIS REAL ESTATE INVESTMENT TRUST,AXREIT,5106,True,Real Estate Investment Trusts
UZMA BHD,UZMA,7250,True,"Energy, Infrastructure, Equipment & Services"
IGB BERHAD,IGBB,5606,False,Property
HSS ENGINEERS BERHAD,HSSEB,0185,True,Industrial Engineering
TIONG NAM LOGISTICS HOLDINGS BERHAD,TNLOGIS,8397,True,Transportation & Logistics Services
KAWAN FOOD BERHAD,KAWAN,7216,True,Food & Beverages
MUAR BAN LEE GROUP BERHAD,MBL,5152,False,"Industrial Materials, Components & Equipment"
GAMUDA BERHAD,GAMUDA,5398,True,Construction
THONG GUAN INDUSTRIES BERHAD,TGUAN,7034,True,Packaging Materials
MST GOLF GROUP BERHAD,MSTGOLF,5316,True,Retailers
CB INDUSTRIAL PRODUCT HOLDING BERHAD,CBIP,7076,True,"Industrial Materials, Components & Equipment"
EDARAN BHD,EDARAN,5036,True,Technology Equipment
OSK HOLDINGS BERHAD,OSK,5053,False,Property
RHONE MA HOLDINGS BERHAD,RHONEMA,5278,False,Agricultural Products
IOI CORPORATION BERHAD,IOICORP,1961,True,Plantation
BANK ISLAM MALAYSIA BERHAD,BIMB,5258,True,Banking
AMTEL HOLDINGS BERHAD,AMTEL,7031,True,Telecommunications Equipment
SHL CONSOLIDATED BHD,SHL,6017,False,Property
AYER HOLDINGS BERHAD,AYER,2305,True,Property
RANHILL UTILITIES BERHAD,RANHILL,5272,True,"Gas, Water & Multi-Utilities"
HCK CAPITAL GROUP BERHAD,HCK,7105,True,Property
ELK-DESA RESOURCES BERHAD,ELKDESA,5228,False,Other Financials
EVERSENDAI CORPORATION BERHAD,SENDAI,5205,True,Construction
INNATURE BERHAD,INNATURE,5295,True,Personal Goods
ATRIUM REAL ESTATE INVESTMENT TRUST,ATRIUM,5130,False,Real Estate Investment Trusts
RAPID SYNERGY BHD,RAPID,7765,False,Property
FAR EAST HOLDINGS BHD,FAREAST,5029,True,Plantation
AVALAND BERHAD,AVALAND,5182,True,Property
PANSAR BERHAD,PANSAR,8419,False,Building Materials
ASTINO BERHAD,ASTINO,7162,True,Building Materials
V.S. INDUSTRY BERHAD,VS,6963,True,"Industrial Materials, Components & Equipment"
ECOMATE HOLDINGS BERHAD,ECOMATE,0239,True,Houshold Goods
DUFU TECHNOLOGY CORP. BERHAD,DUFU,7233,True,"Industrial Materials, Components & Equipment"
KLCC REAL ESTATE INVESTMENT TRUST,KLCC,5235SS,True,Real Estate Investment Trusts
MHC PLANTATIONS BHD,MHC,5026,True,Plantation
JF TECHNOLOGY BERHAD,JFTECH,0146,True,Technology Equipment
BINTULU PORT HOLDINGS BHD,BIPORT,5032,True,Transportation & Logistics Services
TECK GUAN PERDANA BERHAD,TECGUAN,7439,True,Agricultural Products
SUPERLON HOLDINGS BHD,SUPERLN,7235,True,Building Materials
FARM FRESH BERHAD,FFB,5306,True,Food & Beverages
MALAYSIA AIRPORTS HOLDINGS BERHAD,AIRPORT,5014,False,Transportation & Logistics Services
SUNWAY REAL ESTATE INVESTMENT TRUST,SUNREIT,5176,False,Real Estate Investment Trusts
KUMPULAN FIMA BERHAD,KFIMA,6491,True,Diversified Industrials
GIIB HOLDINGS BERHAD,GIIB,7192,True,Auto Parts
KENANGA INVESTMENT BANK BERHAD,KENANGA,6483,False,Other Financials
PERDANA PETROLEUM BERHAD,PERDANA,7108,True,"Energy, Infrastructure, Equipment & Services"
RIMBUNAN SAWIT BERHAD,RSAWIT,5113,True,Plantation
SAPURA INDUSTRIAL BERHAD,SAPIND,7811,True,Auto Parts
CENSOF HOLDINGS BERHAD,CENSOF,5195,True,Software
FAVELLE FAVCO BERHAD,FAVCO,7229,True,Industrial Engineering
SCIENTEX PACKAGING (AYER KEROH) BERHAD,SCIPACK,8125,True,Packaging Materials
ALCOM GROUP BERHAD,ALCOM,2674,True,Metals
TMC LIFE SCIENCES BHD,TMCLIFE,0101,True,Health Care Providers
KKB ENGINEERING BHD,KKB,9466,True,Industrial Engineering
EXCEL FORCE MSC BERHAD,EFORCE,0065,True,Software
PERAK TRANSIT BERHAD,PTRANS,0186,True,"Travel, Leisure & Hospitality"
TH PLANTATIONS BERHAD,THPLANT,5112,True,Plantation
KUMPULAN H & L HIGH-TECH BERHAD,HIGHTEC,7033,True,Industrial Engineering
LB ALUMINIUM BHD,LBALUM,9326,True,Metals
AYS VENTURES BERHAD,AYS,5021,True,Building Materials
TECHNA-X BERHAD,TECHNAX,2739,True,Other Energy Resources
EUPE CORPORATION BERHAD,EUPE,6815,True,Property
DKLS INDUSTRIES BHD,DKLS,7528,True,Construction
ZHULIAN CORPORATION BERHAD,ZHULIAN,5131,True,Consumer Services
FOUNDPAC GROUP BERHAD,FPGROUP,5277,True,"Industrial Materials, Components & Equipment"
LYSAGHT GALVANIZED STEEL BHD,LYSAGHT,9199,False,Metals
EITA RESOURCES BERHAD,EITA,5208,True,"Industrial Materials, Components & Equipment"
AEON CO. (M) BHD,AEON,6599,True,Retailers
EP MANUFACTURING BHD,EPMB,7773,True,Auto Parts
SUNWAY BERHAD,SUNWAY,5211,True,Diversified Industrials
MANULIFE HOLDINGS BERHAD,MANULFE,1058,False,Insurance
LEON FUAT BERHAD,LEONFB,5232,False,Metals
LUXCHEM CORPORATION BERHAD,LUXCHEM,5143,True,Chemicals
PESONA METRO HOLDINGS BHD,PESONA,8311,True,Construction
B.I.G. INDUSTRIES BHD,BIG,7005,True,Diversified Industrials
TALIWORKS CORPORATION BERHAD,TALIWRK,8524,True,"Gas, Water & Multi-Utilities"
ORIENTAL HOLDINGS BHD,ORIENT,4006,False,Automotive
KUB MALAYSIA BERHAD,KUB,6874,True,Industrial Services
HEKTAR REITS,HEKTAR,5121,False,Real Estate Investment Trusts
BUMI ARMADA BERHAD,ARMADA,5210,False,"Energy, Infrastructure, Equipment & Services"
SCGM BHD,SCGM,7247,False,Packaging Materials
HONG LEONG CAPITAL BERHAD,HLCAP,5274,False,Other Financials
MALAYAN CEMENT BERHAD,MCEMENT,3794,True,Building Materials
CAPITALAND MALAYSIA TRUST,CLMT,5180,False,Real Estate Investment Trusts
NCT ALLIANCE BERHAD,NCT,0056,True,Property
PRESTAR RESOURCES BHD,PRESTAR,9873,True,Metals
CONCRETE ENGINEERING PRODUCTS BERHAD,CEPCO,8435,True,Building Materials
MAH SING GROUP BERHAD,MAHSING,8583,True,Property
ASIA FILE CORPORATION BHD,ASIAFLE,7129,True,Consumer Services
ATLAN HOLDINGS BHD,ATLAN,7048,False,Retailers
CRESCENDO CORPORATION BERHAD,CRESNDO,6718,True,Property
PARAMOUNT CORPORATION BERHAD,PARAMON,1724,True,Property
GUAN CHONG BERHAD,GCB,5102,True,Food & Beverages
MELATI EHSAN HOLDINGS BERHAD,MELATI,5129,True,Construction
HEITECH PADU BHD,HTPADU,5028,True,Digital Services
AL-'AQAR HEALTHCARE REIT,ALAQAR,5116,True,Real Estate Investment Trusts
GE-SHEN CORPORATION BHD,GESHEN,7197,False,"Industrial Materials, Components & Equipment"
EURO HOLDINGS BERHAD,EURO,7208,True,Consumer Services
CHIN TECK PLANTATIONS BERHAD,CHINTEK,1929,False,Plantation
UOA REAL ESTATE INVESTMENT TRUST,UOAREIT,5110,False,Real Estate Investment Trusts
OCK GROUP BERHAD,OCK,0172,True,Telecommunications Service Providers
SLP RESOURCES BERHAD,SLP,7248,True,Packaging Materials
WEGMANS HOLDINGS BERHAD,WEGMANS,0197,True,Houshold Goods
YTL HOSPITALITY REIT,YTLREIT,5109,False,Real Estate Investment Trusts
LEADER STEEL HOLDINGS BHD,LSTEEL,9881,True,Metals
MYTECH GROUP BERHAD,MYTECH,7692,False,Metals
ELSOFT RESEARCH BERHAD,ELSOFT,0090,True,Technology Equipment
MEDIA PRIMA BERHAD,MEDIA,4502,False,Media
TAMBUN INDAH LAND BERHAD,TAMBUN,5191,True,Property
MISC BERHAD,MISC,3816,True,Transportation & Logistics Services
SENTRAL REIT,SENTRAL,5123,False,Real Estate Investment Trusts
EMICO HOLDINGS BERHAD,EMICO,9091,True,Consumer Services
HIAP TECK VENTURE BERHAD,HIAPTEK,5072,True,Metals
CSC STEEL HOLDINGS BERHAD,CSCSTEL,5094,True,Metals
POH HUAT RESOURCES HOLDINGS BERHAD,POHUAT,7088,True,Houshold Goods
SUCCESS TRANSFORMER CORPORATION BERHAD,SUCCESS,7207,True,"Industrial Materials, Components & Equipment"
GHL SYSTEMS BHD,GHLSYS,0021,True,Digital Services
UOA DEVELOPMENT BHD,UOADEV,5200,True,Property
SASBADI HOLDINGS BERHAD,SASBADI,5252,True,Media
ONLY WORLD GROUP HOLDINGS BERHAD,OWG,5260,True,"Travel, Leisure & Hospitality"
KPS CONSORTIUM BHD,KPSCB,9121,True,Wood & Wood Products
MAGNUM BERHAD,MAGNUM,3859,False,"Travel, Leisure & Hospitality"
PPB GROUP BERHAD,PPB,4065,True,Food & Beverages
MI TECHNOVATION BERHAD,MI,5286,True,Technology Equipment
WILLOWGLEN MSC BERHAD,WILLOW,0008,True,Software
KARYON INDUSTRIES BERHAD,KARYON,0054,True,Chemicals
HANDAL ENERGY BERHAD,HANDAL,7253,True,"Energy, Infrastructure, Equipment & Services"
MENANG CORPORATION (M) BERHAD,MENANG,1694,True,Property
MALAYSIA BUILDING SOCIETY BHD,MBSB,1171,True,Other Financials
D & O GREEN TECHNOLOGIES BERHAD,D&O,7204,True,Semiconductors
CEPATWAWASAN GROUP BERHAD,CEPAT,8982,True,Plantation
OCB BERHAD,OCB,5533,True,Food & Beverages
EASTERN & ORIENTAL BERHAD,E&O,3417,True,Property
S & F CAPITAL BERHAD,S&FCAP,8745,True,Wood & Wood Products
GDB HOLDINGS BERHAD,GDB,0198,True,Construction
GENTING PLANTATIONS BERHAD,GENP,2291,True,Plantation
SHH RESOURCES HOLDINGS BERHAD,SHH,7412,True,Houshold Goods
TENAGA NASIONAL BHD,TENAGA,5347,True,Electricity
MKH BERHAD,MKH,6114,True,Property
HAP SENG PLANTATIONS HOLDINGS,HSPLANT,5138,True,Plantation
SENHENG NEW RETAIL BERHAD,SENHENG,5305,True,Retailers
HPMT HOLDINGS BERHAD,HPMT,5291,True,"Industrial Materials, Components & Equipment"
UMS HOLDINGS BERHAD,UMS,7137,True,"Industrial Materials, Components & Equipment"
BLD PLANTATION BHD.,BLDPLNT,5069,True,Plantation
